Title,Country,Language
The Shawshank Redemption,United States,English
The Godfather,United States,"English, Italian, Latin"
The Dark Knight,"United States, United Kingdom","English, Mandarin"
The Godfather Part II,United States,"English, Italian, Spanish, Latin, Sicilian"
12 Angry Men,United States,English
The Lord of the Rings: The Return of the King,"New Zealand, United States","English, Quenya, Old English, Sindarin"
Schindler's List,United States,"English, Hebrew, German, Polish, Latin"
Pulp Fiction,United States,"English, Spanish, French"
The Lord of the Rings: The Fellowship of the Ring,"New Zealand, United States, United Kingdom","English, Sindarin"
"The Good, the Bad and the Ugly","Italy, Spain, West Germany","Italian, English"
Forrest Gump,United States,English
The Lord of the Rings: The Two Towers,"New Zealand, United States","English, Sindarin, Old English"
Fight Club,"Germany, United States",English
Inception,"United States, United Kingdom","English, Japanese, French"
Star Wars: Episode V - The Empire Strikes Back,United States,English
The Matrix,"United States, Australia",English
Goodfellas,United States,"English, Italian, Hebrew, Yiddish"
One Flew Over the Cuckoo's Nest,United States,English
Interstellar,"United States, United Kingdom, Canada",English
Se7en,United States,English
It's a Wonderful Life,United States,"English, French"
Seven Samurai,Japan,Japanese
The Silence of the Lambs,United States,"English, Latin"
Saving Private Ryan,United States,"English, French, German, Czech"
City of God,"Brazil, France, Germany",Portuguese
Life Is Beautiful,Italy,"Italian, German, English"
The Green Mile,United States,"English, French"
Terminator 2: Judgment Day,"United States, France","English, Spanish"
Star Wars: Episode IV - A New Hope,United States,English
Back to the Future,United States,English
Spirited Away,"Japan, United States",Japanese
The Pianist,"France, Poland, Germany, United Kingdom, United States","English, German, Russian"
Parasite,South Korea,"Korean, English"
Psycho,United States,English
Gladiator,"United States, United Kingdom, Malta, Morocco",English
The Lion King,United States,"English, Swahili, Xhosa, Zulu"
Spider-Man: Across the Spider-Verse,United States,English
The Departed,"United States, Hong Kong","English, Cantonese"
Whiplash,United States,English
American History X,United States,English
Léon: The Professional,"France, United States","English, Italian, French"
Grave of the Fireflies,"Japan, United States",Japanese
The Prestige,"United Kingdom, United States",English
Harakiri,Japan,Japanese
Dune: Part Two,"United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia",English
The Usual Suspects,"Germany, United States","English, Hungarian, Spanish, French"
Casablanca,United States,"English, French, German, Italian, Russian"
The Intouchables,France,"French, English"
Cinema Paradiso,"Italy, France",Italian
Modern Times,United States,English
Alien,"United Kingdom, United States",English
Rear Window,United States,English
Once Upon a Time in the West,"Italy, United States","Italian, English, Spanish"
Django Unchained,United States,"English, German, French, Italian"
City Lights,United States,"None, English"
Apocalypse Now,United States,"English, French, Vietnamese"
Memento,United States,English
WALL·E,"United States, Japan",English
Raiders of the Lost Ark,United States,"English, German, Spanish, Nepali, Hebrew, Arabic"
12th Fail,India,Hindi
The Lives of Others,"Germany, France",German
Sunset Boulevard,United States,English
Avengers: Infinity War,"United States, Norway",English
Paths of Glory,United States,"English, German, Latin"
Spider-Man: Into the Spider-Verse,"Canada, United States","English, Spanish"
Witness for the Prosecution,United States,"English, German"
The Shining,"United Kingdom, United States",English
The Great Dictator,United States,"English, Esperanto, Latin"
Aliens,"United Kingdom, United States","English, Spanish"
Inglourious Basterds,"United States, Germany","English, German, French, Italian"
The Dark Knight Rises,"United States, United Kingdom","English, Arabic"
Coco,"United States, Mexico","English, Spanish"
Amadeus,"United States, France","English, Italian, Latin, German, French"
Toy Story,United States,English
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"United Kingdom, United States","English, Russian"
Oldboy,South Korea,Korean
American Beauty,United States,English
Avengers: Endgame,United States,"English, Japanese, Xhosa, German"
Das Boot,West Germany,German
Braveheart,United States,"English, French, Latin, Gaelic, Italian"
Good Will Hunting,United States,English
Princess Mononoke,Japan,Japanese
Joker,"United States, Canada, Australia","English, German"
Your Name.,Japan,Japanese
High and Low,Japan,Japanese
3 Idiots,India,"Hindi, English"
Once Upon a Time in America,"Italy, United States","English, Italian, French, Yiddish, Hebrew"
Singin' in the Rain,United States,English
Capernaum,"Lebanon, United States, France, Cyprus, Qatar, United Kingdom","Arabic, Amharic"
Come and See,Soviet Union,"Belarusian, Russian, German"
Requiem for a Dream,United States,English
Toy Story 3,United States,"English, Spanish"
Star Wars: Episode VI - Return of the Jedi,United States,"English, Kikuyu, Tagalog, Kalmyk-Oirat, Quechua, Polish"
Eternal Sunshine of the Spotless Mind,United States,English
The Hunt,"Denmark, Sweden","Danish, English, Polish"
2001: A Space Odyssey,"United Kingdom, United States","English, Russian, French"
Ikiru,Japan,"Japanese, Latin, English, French"
Reservoir Dogs,United States,English
Lawrence of Arabia,"United Kingdom, United States","English, Arabic, Turkish"
The Apartment,United States,English
Incendies,"Canada, France","French, Arabic, English"
North by Northwest,United States,"English, French"
Scarface,United States,"English, Spanish"
Oppenheimer,"United States, United Kingdom","English, German, Italian"
Citizen Kane,United States,"English, Italian"
Double Indemnity,United States,English
M,Germany,German
Vertigo,United States,English
Full Metal Jacket,"United Kingdom, United States","English, Vietnamese"
Heat,United States,"English, Spanish"
Amélie,"France, Germany","French, Russian, English"
Up,United States,English
A Clockwork Orange,"United Kingdom, United States",English
To Kill a Mockingbird,United States,English
A Separation,"Iran, France, Australia",Persian
The Sting,United States,English
Die Hard,United States,"English, German, Italian, Japanese"
Indiana Jones and the Last Crusade,United States,"English, German, Greek, Latin, Italian"
Like Stars on Earth,India,"Hindi, English, German"
Metropolis,Germany,"German, English"
Snatch,"United Kingdom, United States","English, Russian"
1917,"United Kingdom, United States, India, Spain, Canada","English, French, German"
L.A. Confidential,United States,English
Bicycle Thieves,Italy,"Italian, German"
Hamilton,United States,English
Downfall,"Germany, Austria, Italy","German, Russian, French, English"
Taxi Driver,United States,"English, Spanish"
Dangal,"India, United States","Hindi, English"
Batman Begins,"United States, United Kingdom","English, Mandarin"
For a Few Dollars More,"Italy, Spain, West Germany","Italian, English"
The Wolf of Wall Street,United States,"English, French"
Green Book,"United States, China","English, Italian, Russian, German"
Some Like It Hot,United States,English
The Kid,United States,"None, English"
The Truman Show,United States,English
Judgment at Nuremberg,United States,"English, German"
The Father,"United Kingdom, France, United States",English
All About Eve,United States,"English, French"
Shutter Island,United States,"English, German"
There Will Be Blood,United States,"English, American Sign Language"
Jurassic Park,United States,"English, Spanish"
Top Gun: Maverick,United States,English
Casino,"United States, France",English
The Sixth Sense,United States,"English, Latin, Spanish"
Ran,"Japan, France",Japanese
Pan's Labyrinth,"Mexico, Spain",Spanish
Unforgiven,United States,English
No Country for Old Men,United States,"English, Spanish"
The Thing,"United States, Canada","English, Norwegian"
A Beautiful Mind,United States,English
Kill Bill: Vol. 1,"United States, China","English, Japanese, French"
The Treasure of the Sierra Madre,United States,"English, Spanish"
Yojimbo,Japan,Japanese
The Great Escape,United States,"English, German, French, Russian, Spanish"
Monty Python and the Holy Grail,United Kingdom,"English, French, Latin, Swedish"
Finding Nemo,"United States, Japan","English, Japanese, Russian"
Prisoners,United States,English
Howl's Moving Castle,"Japan, United States",Japanese
The Elephant Man,"United States, United Kingdom","English, French"
Rashomon,Japan,Japanese
Dial M for Murder,United States,English
Chinatown,United States,"English, Cantonese, Spanish"
Gone with the Wind,United States,English
The Secret in Their Eyes,"Argentina, Spain",Spanish
"Lock, Stock and Two Smoking Barrels","United Kingdom, United States",English
Inside Out,United States,"English, Portuguese, Latvian"
V for Vendetta,"United States, United Kingdom, Germany","English, French, Latin, Spanish"
"Three Billboards Outside Ebbing, Missouri","United Kingdom, United States",English
Raging Bull,United States,English
Trainspotting,"United Kingdom, United States",English
The Bridge on the River Kwai,"United Kingdom, United States","English, Japanese, Thai"
Klaus,"Spain, United Kingdom, United States, Austria, Canada, France","English, Saami"
Catch Me If You Can,"United States, Canada","English, French"
Fargo,"United Kingdom, United States",English
Warrior,United States,"English, Spanish"
Spider-Man: No Way Home,United States,English
Gran Torino,"Germany, United States","English, Hmong"
Harry Potter and the Deathly Hallows: Part 2,"United Kingdom, United States","English, Latin"
Million Dollar Baby,United States,"English, Irish Gaelic"
My Neighbor Totoro,Japan,Japanese
Mad Max: Fury Road,"Australia, United States","English, Russian"
Children of Heaven,Iran,Persian
Ben-Hur,United States,English
12 Years a Slave,"United Kingdom, United States",English
Before Sunrise,"Austria, United States","English, German, French"
